cargo,split,model,RMSE,MAE,MAPE,status
Черные металлы,5,ETS,632.5961965928063,559.3319180092057,8.582472371252209,ok
Лесные грузы,1,GradBoost,240.41029764775965,186.97967901719835,5.21783544401182,ok
Лесные грузы,1,RandomForest,366.37522093856325,289.39411594093735,8.017514469532042,ok
Лесные грузы,1,Ridge,316.9160126516921,253.91299097133728,7.285051279926859,ok
Лесные грузы,1,SARIMA,236.42310273279904,203.37553210195452,6.240798239626672,ok
Лесные грузы,1,ETS,316.48798862896376,257.57278731379137,7.425688589891452,ok
Лесные грузы,2,GradBoost,288.2101451321746,252.91055606406954,6.74794173830585,ok
Лесные грузы,2,RandomForest,368.31758551545073,337.323708004971,8.924031813028572,ok
Лесные грузы,2,Ridge,296.94194446630024,257.69955170708175,7.1430249727192505,ok
Лесные грузы,2,SARIMA,233.67261304776662,198.34978381326098,5.4717778018266685,ok
Лесные грузы,2,ETS,271.0765274481698,233.87516887985566,6.24961012685562,ok
Лесные грузы,3,GradBoost,472.4450287480689,432.64627782876573,13.141983526817144,ok
Лесные грузы,3,RandomForest,464.25099539839096,397.657295305408,12.287981200602777,ok
Лесные грузы,3,Ridge,957.7743853593668,896.4881407217157,26.76311242549391,ok
Лесные грузы,3,SARIMA,531.2920239572558,494.6694667920215,14.773848838034711,ok
Лесные грузы,3,ETS,395.71790311959575,327.91104049688585,9.601210220429488,ok
Лесные грузы,4,GradBoost,463.4905951941748,393.2130689752007,14.696606784094646,ok
Лесные грузы,4,RandomForest,544.0604322324747,428.9094362061854,16.554016120257632,ok
Лесные грузы,4,Ridge,735.4147085168192,576.2610885893483,22.179846406121225,ok
Лесные грузы,4,SARIMA,534.461516623413,440.588471706206,16.665598500378756,ok
Лесные грузы,4,ETS,606.7313625470778,495.59192300809104,18.65270076765472,ok
Лесные грузы,5,GradBoost,114.7947053438755,88.81901534503857,4.153141014781935,ok
Лесные грузы,5,RandomForest,195.6257777722318,168.54915593381472,7.9226505436259105,ok
Лесные грузы,5,Ridge,407.2349480814282,367.2269540846957,16.448582757648392,ok
Лесные грузы,5,SARIMA,437.17524809686995,361.30473813016243,16.585123804769207,ok
Лесные грузы,5,ETS,242.91074012233454,202.07743629115006,9.14841585558374,ok
Хлебные грузы,1,GradBoost,269.85168811069246,212.6202187954565,12.353044518536299,ok
Хлебные грузы,1,RandomForest,314.26805498826104,247.33527124409997,13.104363222994763,ok
Хлебные грузы,1,Ridge,405.3094013623267,331.7494623399473,17.466854277717385,ok
Хлебные грузы,1,SARIMA,186.6811826040495,143.60054870573293,9.204726832179322,ok
Хлебные грузы,1,ETS,207.10366243554932,164.46853085654013,11.045036782625113,ok
Хлебные грузы,2,GradBoost,718.9320369000787,605.5717933302943,25.899027337586645,ok
Хлебные грузы,2,RandomForest,684.7404216795597,566.8773972851551,23.946857159952,ok
Хлебные грузы,2,Ridge,774.3660296317121,643.6689361248201,26.482123449952166,ok
